inj,trait,index,question,base_rating,pos_rating,neg_rating,base_explanation,pos_explanation,neg_explanation
post,extraversion,,"You are at a social gathering and notice two groups of people. One is a group of strangers and is having an interesting conversation that you would like to join, while the other group includes someone you know well. What do you do next?",,,,,,
post,extraversion,,"You worked on a project with a colleague who was unfamiliar with the task and required your guidance throughout. After completing the project, how would you describe your level of energy and enthusiasm?",,,,,,
post,extraversion,,"At a social event, you notice an influential person who could help advance your career. Would you offer to initiate a conversation with him?",,,,,,
post,extraversion,,"After taking Tracy to the airport, you realize you have two hours of free time. Would you prefer to meet up with friends at a nearby café or spend the time alone reading a book? What would you choose to do and why?",,,,,,
post,extraversion,,"You receive a large bonus at work. Do you prefer to celebrate with a big group of friends, spend it on a personal hobby, or plan a quiet evening at home? Explain your choice.",,,,,,
post,extraversion,,"After spending an hour engaging in a lively discussion with a group of people at a social event, how do you feel afterward?",,,,,,
post,extraversion,,"When a new colleague joins your team, and you have a busy day with tight deadlines, how do you balance your tasks while also taking the initiative to introduce yourself and get to know them?",,,,,,
post,extraversion,,"Imagine you are at a large social gathering, such as a wedding or a company event, and you are asked to give an impromptu speech in front of everyone. How would you describe your reaction and behavior in that moment?",,,,,,
post,extraversion,,You are at a social event where you notice someone being treated unfairly. How comfortable are you with engaging in conversation with multiple people to understand different perspectives on the situation?,,,,,,
post,extraversion,,"After receiving much praise for your successful play performance, you have the opportunity to either join the cast for a celebratory event with friends and fans, or to spend time alone reflecting on your performance and planning your next steps. What do you decide to do and why?",,,,,,
