inj,trait,index,question,neg_rating,neg_explanation
post,neuroticism,,"How would you feel if you had to inform Austin about the dent in his brand new car, knowing that it might create tension or conflict?",,
post,neuroticism,,"You missed the train to work, could not find a cab anywhere, and as a result, you are significantly late for an important meeting. Describe your thoughts and feelings about the situation and its impact on your day.",,
post,neuroticism,,Imagine you had a party at someone's house without their permission and they found out. Describe how you would typically react to this situation.,,
post,neuroticism,,Imagine you accidentally revealed a surprise party to a coworker after multiple reminders from the party planner to keep it a secret. How would you react to this situation?,,
post,neuroticism,,"After following investment advice from a trusted friend, you lost a significant amount of money. Describe your thoughts and feelings in the days following this event.",,
post,neuroticism,,"Imagine you started hiking and got lost in the woods for hours. After finally finding your way out, describe your emotional and mental state immediately afterwards and how you might reflect on the experience in the following days.",,
post,neuroticism,,Imagine a friend asks you about your favorite movies during a casual conversation. How would you feel about sharing your preferences right away?,,
post,neuroticism,,"You are walking home after dark, and the streetlights suddenly go out, leaving you unable to see well. How do you handle this situation?",,
post,neuroticism,,"Imagine you have an important presentation at work in 30 minutes, and you accidentally cut your hand, causing it to bleed. How do you feel, and what do you do next?",,
post,neuroticism,,"Imagine you have an important secret that you must keep for a significant reason, such as protecting someone's privacy or avoiding a conflict. How do you feel after successfully keeping this secret for a long period of time?",,
